,Occupation_Code,Occupation_Title,Total_Employees,Mean_Annual_Wage,Annual_10th_Percentile_Wage,Annual_25th_Percentile_Wage,Annual_Median_Wage,Annual_75th_Percentile_Wage,Annual_90th_Percentile_Wage,Probability of Automation,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
738,395010,"Barbers, Hairdressers, Hairstylists and Cosmetologists","368,280","29,600","17,940","19,570","24,300","34,350","48,940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,395011,Barbers,"15,900","29,900","18,210","20,350","25,760","37,020","47,400",0.8,0.0,0.0,0.0,0.0,1320.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,310.0,0.0,0.0,0.0,0.0,910.0,0.0,2130.0,300.0,0.0,0.0,0.0,0.0,990.0,0.0,0.0,0.0,0.0,3120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
740,395012,"Hairdressers, Hairstylists, and Cosmetologists","352,380","29,590","17,930","19,550","24,260","34,170","49,050",0.11,3450.0,510.0,7100.0,1640.0,27180.0,7340.0,5790.0,1770.0,1150.0,24620.0,8200.0,1030.0,1570.0,16420.0,6650.0,3360.0,3060.0,3250.0,2830.0,1130.0,8560.0,11440.0,10840.0,9680.0,1420.0,6240.0,640.0,2310.0,3280.0,1960.0,15610.0,1160.0,26410.0,7470.0,1250.0,17460.0,2600.0,2900.0,23680.0,1080.0,4330.0,910.0,6100.0,22690.0,3180.0,570.0,10190.0,9160.0,1450.0,9270.0,470.0
741,395090,Miscellaneous Personal Appearance Workers,"153,460","28,210","18,540","19,940","23,130","30,530","44,010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,395091,"Makeup Artists, Theatrical and Performance","3,600","71,590","22,630","37,940","60,970","106,070","124,960",0.01,0.0,0.0,0.0,0.0,1710.0,0.0,0.0,0.0,70.0,120.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
743,395092,Manicurists and Pedicurists,"90,630","24,330","18,800","19,910","22,150","26,440","33,590",0.95,410.0,90.0,1340.0,170.0,20590.0,0.0,2330.0,260.0,50.0,3130.0,550.0,360.0,90.0,3750.0,540.0,150.0,820.0,130.0,1150.0,190.0,2170.0,4890.0,770.0,1260.0,0.0,580.0,200.0,80.0,200.0,440.0,7570.0,0.0,14080.0,830.0,0.0,1860.0,290.0,1860.0,4800.0,450.0,180.0,70.0,300.0,2260.0,0.0,0.0,2460.0,3870.0,40.0,690.0,60.0
744,395093,Shampooers,"15,240","20,960","17,480","18,530","19,700","22,760","25,750",0.79,140.0,0.0,0.0,0.0,790.0,0.0,120.0,370.0,120.0,1020.0,580.0,0.0,0.0,1080.0,0.0,0.0,0.0,0.0,140.0,0.0,1790.0,520.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2380.0,0.0,1890.0,180.0,0.0,140.0,0.0,0.0,1190.0,0.0,0.0,0.0,0.0,920.0,0.0,0.0,910.0,0.0,0.0,0.0,0.0
745,395094,Skincare Specialists,"43,980","35,160","18,640","21,960","30,270","42,810","59,780",0.29,340.0,0.0,1500.0,110.0,5930.0,1330.0,650.0,0.0,0.0,2860.0,1340.0,270.0,70.0,2180.0,810.0,190.0,230.0,380.0,270.0,80.0,660.0,1020.0,1010.0,710.0,210.0,470.0,0.0,260.0,540.0,360.0,2110.0,130.0,3950.0,980.0,70.0,1440.0,60.0,740.0,1230.0,110.0,440.0,0.0,800.0,4410.0,670.0,120.0,910.0,870.0,0.0,690.0,0.0
746,396000,"Baggage Porters, Bellhops, and Concierges","76,760","27,630","18,200","20,270","24,710","32,250","40,790",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,396010,"Baggage Porters, Bellhops, and Concierges","76,760","27,630","18,200","20,270","24,710","32,250","40,790",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,396011,Baggage Porters and Bellhops,"44,750","24,910","17,690","19,090","22,260","28,440","36,110",0.83,290.0,90.0,740.0,130.0,5660.0,640.0,180.0,30.0,670.0,10800.0,880.0,1380.0,60.0,1740.0,580.0,0.0,50.0,140.0,480.0,0.0,380.0,680.0,800.0,330.0,220.0,550.0,70.0,130.0,2710.0,60.0,560.0,210.0,4250.0,550.0,140.0,490.0,260.0,270.0,1320.0,100.0,340.0,60.0,500.0,2260.0,280.0,130.0,1330.0,520.0,130.0,180.0,60.0
749,396012,Concierges,"32,020","31,440","20,560","23,380","29,250","37,500","46,750",0.21,0.0,60.0,930.0,0.0,3620.0,680.0,160.0,0.0,780.0,4760.0,580.0,800.0,80.0,1150.0,170.0,90.0,80.0,60.0,270.0,0.0,580.0,970.0,460.0,460.0,0.0,640.0,60.0,130.0,1230.0,0.0,750.0,30.0,4040.0,210.0,0.0,310.0,140.0,290.0,580.0,30.0,240.0,0.0,610.0,2690.0,150.0,0.0,1930.0,510.0,60.0,240.0,40.0
750,397000,Tour and Travel Guides,"41,690","28,670","18,350","20,770","25,370","33,920","44,760",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,397010,Tour and Travel Guides,"41,690","28,670","18,350","20,770","25,370","33,920","44,760",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,397011,Tour Guides and Escorts,"38,660","28,100","18,300","20,600","24,920","33,010","43,060",0.91,330.0,680.0,1130.0,170.0,4580.0,1340.0,270.0,250.0,500.0,1790.0,850.0,1340.0,90.0,840.0,490.0,220.0,140.0,490.0,680.0,90.0,380.0,1690.0,1100.0,720.0,140.0,920.0,120.0,130.0,460.0,180.0,340.0,270.0,2470.0,830.0,0.0,710.0,320.0,210.0,1600.0,390.0,850.0,410.0,1050.0,2050.0,980.0,150.0,1450.0,1150.0,100.0,970.0,240.0
753,397012,Travel Guides,"3,030","35,930","19,030","25,000","32,100","44,110","58,400",0.057,0.0,0.0,130.0,0.0,410.0,0.0,0.0,0.0,50.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,170.0,110.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,30.0,140.0,0.0,0.0,0.0,90.0,0.0,0.0
754,399000,Other Personal Care and Service Workers,"2,820,750","25,410","17,490","19,320","22,520","27,620","37,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,399010,Childcare Workers,"569,370","22,930","17,190","18,680","21,170","25,490","31,710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,399011,Childcare Workers,"569,370","22,930","17,190","18,680","21,170","25,490","31,710",0.084,9000.0,2500.0,7980.0,7040.0,58510.0,8310.0,8610.0,1580.0,1750.0,35760.0,19070.0,2620.0,1830.0,17200.0,9580.0,7850.0,6320.0,12220.0,8210.0,3050.0,9750.0,12560.0,16900.0,10140.0,6410.0,12780.0,2420.0,7910.0,3130.0,2770.0,17750.0,2550.0,36510.0,21610.0,2790.0,20310.0,7980.0,5990.0,22040.0,1690.0,6640.0,2710.0,9960.0,56660.0,6020.0,1130.0,13580.0,8430.0,2250.0,7170.0,1850.0
757,399020,Personal Care Aides,"1,492,250","22,710","17,310","19,180","21,920","24,860","29,760",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,399021,Personal Care Aides,"1,492,250","22,710","17,310","19,180","21,920","24,860","29,760",0.74,13230.0,4900.0,38670.0,15460.0,144310.0,23640.0,23510.0,3880.0,5260.0,25020.0,19740.0,3940.0,10840.0,43150.0,27790.0,16230.0,17500.0,14740.0,33410.0,13340.0,14330.0,42190.0,37870.0,67420.0,10630.0,42140.0,4740.0,6810.0,11020.0,7410.0,10460.0,23940.0,156830.0,22130.0,4940.0,26520.0,12100.0,19330.0,92040.0,3390.0,14020.0,2600.0,17150.0,188790.0,7870.0,6680.0,41200.0,26820.0,10710.0,59690.0,1890.0
759,399030,Recreation and Fitness Workers,"594,280","33,970","18,360","20,810","27,570","41,400","59,230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,399031,Fitness Trainers and Aerobics Instructors,"257,410","42,780","19,150","24,120","38,160","55,010","72,980",0.085,2230.0,560.0,5100.0,1190.0,30600.0,7150.0,3670.0,980.0,1080.0,13870.0,4470.0,950.0,1490.0,13350.0,4080.0,3510.0,2630.0,2030.0,2320.0,820.0,6550.0,9990.0,5400.0,5140.0,960.0,2930.0,1100.0,1710.0,2030.0,1770.0,10940.0,1350.0,18420.0,9040.0,890.0,7870.0,2160.0,4460.0,10980.0,630.0,2770.0,1010.0,2990.0,14800.0,3480.0,810.0,10890.0,7460.0,850.0,5290.0,620.0
761,399032,Recreation Workers,"336,880","27,230","18,000","19,780","23,870","31,310","41,660",0.0061,3980.0,590.0,5510.0,1780.0,47950.0,6770.0,4500.0,890.0,580.0,21070.0,7910.0,2380.0,1270.0,21230.0,5540.0,4140.0,3860.0,2860.0,3090.0,1170.0,5510.0,9790.0,11160.0,8010.0,1660.0,5470.0,2090.0,1610.0,1470.0,1590.0,9990.0,2170.0,27260.0,7060.0,860.0,13070.0,1870.0,4250.0,12810.0,790.0,4460.0,660.0,6080.0,18670.0,3700.0,1120.0,10810.0,6120.0,1380.0,7660.0,690.0
762,399040,Residential Advisors,"110,330","27,690","18,330","21,020","25,570","31,720","39,960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,399041,Residential Advisors,"110,330","27,690","18,330","21,020","25,570","31,720","39,960",0.064,2250.0,150.0,1010.0,850.0,6560.0,540.0,1990.0,310.0,920.0,6150.0,2120.0,310.0,550.0,4020.0,1720.0,860.0,1120.0,3660.0,590.0,260.0,5120.0,7350.0,2060.0,1680.0,770.0,1470.0,190.0,410.0,410.0,430.0,810.0,510.0,6330.0,1440.0,850.0,3040.0,1180.0,1170.0,8060.0,740.0,1910.0,2350.0,7850.0,7810.0,2150.0,410.0,3150.0,1350.0,770.0,2330.0,290.0
764,399090,Miscellaneous Personal Care and Service Workers,"54,520","27,460","18,490","20,730","25,420","32,290","38,460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,399099,"Personal Care and Service Workers, All Other","54,520","27,460","18,490","20,730","25,420","32,290","38,460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,410000,Sales and Related Occupations,"14,536,530","40,560","18,150","20,210","26,590","46,230","78,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,411000,Supervisors of Sales Workers,"1,446,900","51,230","25,380","31,920","42,250","59,320","84,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,411010,First-Line Supervisors of Sales Workers,"1,446,900","51,230","25,380","31,920","42,250","59,320","84,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,411011,First-Line Supervisors of Retail Sales Workers,"1,194,220","43,910","24,530","30,370","39,040","51,250","66,480",0.28,24120.0,2360.0,26250.0,12890.0,117160.0,18540.0,15300.0,4080.0,1580.0,88970.0,36740.0,6360.0,6090.0,43500.0,26520.0,12700.0,12790.0,16270.0,21600.0,6000.0,26820.0,28010.0,34670.0,21700.0,11860.0,24930.0,5160.0,7820.0,10720.0,7100.0,31440.0,8640.0,63120.0,40660.0,4040.0,42030.0,17480.0,14330.0,41690.0,4010.0,22830.0,2970.0,30190.0,98400.0,9700.0,2600.0,32530.0,22040.0,8080.0,16110.0,2770.0
770,411012,First-Line Supervisors of Non-Retail Sales Workers,"252,670","85,830","37,730","52,730","73,150","103,840","150,400",0.075,3270.0,150.0,6080.0,2640.0,28670.0,4890.0,2670.0,610.0,420.0,22610.0,5560.0,1310.0,970.0,8140.0,4380.0,1900.0,1810.0,2680.0,1980.0,810.0,5400.0,5040.0,6850.0,3570.0,1480.0,3950.0,850.0,2690.0,1370.0,1830.0,6610.0,940.0,21180.0,9020.0,600.0,8300.0,2750.0,2370.0,9900.0,1120.0,3410.0,580.0,5980.0,25420.0,1880.0,680.0,6810.0,3910.0,630.0,5740.0,230.0
771,412000,Retail Sales Workers,"8,791,750","25,250","17,530","19,010","21,570","27,000","37,670",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,412010,Cashiers,"3,564,130","21,710","17,140","18,460","20,200","23,600","28,840",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,412011,Cashiers,"3,541,010","21,680","17,140","18,450","20,180","23,570","28,760",0.97,72610.0,6470.0,67040.0,34480.0,404500.0,59540.0,38800.0,11800.0,9270.0,240010.0,110850.0,16130.0,15190.0,127700.0,70440.0,42200.0,36480.0,49550.0,71140.0,16000.0,77520.0,72200.0,92860.0,63650.0,38690.0,74790.0,14750.0,26060.0,34490.0,22330.0,95550.0,21580.0,193860.0,112280.0,10240.0,117390.0,43690.0,45730.0,147440.0,10540.0,64740.0,13200.0,72320.0,272270.0,28080.0,9700.0,108920.0,65350.0,22390.0,61290.0,6880.0
774,412012,Gaming Change Persons and Booth Cashiers,"23,120","25,940","18,500","20,480","23,780","29,720","37,330",0.83,0.0,0.0,820.0,0.0,2680.0,120.0,0.0,0.0,0.0,1210.0,0.0,0.0,70.0,410.0,330.0,180.0,120.0,190.0,1040.0,0.0,0.0,0.0,800.0,660.0,720.0,200.0,0.0,0.0,1720.0,0.0,750.0,550.0,880.0,0.0,120.0,420.0,1910.0,350.0,750.0,0.0,0.0,290.0,0.0,140.0,0.0,0.0,0.0,890.0,1130.0,490.0,0.0
775,412020,Counter and Rental Clerks and Parts Salespersons,"699,070","30,750","18,560","21,010","27,030","36,650","49,240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,412021,Counter and Rental Clerks,"450,330","29,390","18,350","20,800","25,550","34,340","46,740",0.97,8810.0,930.0,9930.0,3510.0,86240.0,13750.0,4190.0,1180.0,510.0,29780.0,9820.0,1900.0,1460.0,10660.0,9460.0,4040.0,4250.0,6080.0,5660.0,1530.0,10300.0,7560.0,11790.0,6090.0,2580.0,4630.0,1580.0,3820.0,4950.0,1890.0,8940.0,3020.0,21180.0,12330.0,680.0,13780.0,3480.0,4510.0,13170.0,1300.0,4860.0,930.0,7220.0,46870.0,3230.0,910.0,13940.0,11310.0,980.0,7780.0,1020.0
777,412022,Parts Salespersons,"248,740","33,220","19,090","22,660","29,780","39,890","52,430",0.98,4200.0,700.0,4260.0,3150.0,25190.0,4700.0,2520.0,770.0,0.0,15130.0,7570.0,600.0,1700.0,8990.0,5650.0,3790.0,2910.0,3560.0,4300.0,1370.0,3730.0,3890.0,9090.0,4930.0,2530.0,5640.0,1330.0,2250.0,1930.0,1550.0,5090.0,1740.0,9640.0,8720.0,1730.0,10500.0,3730.0,4170.0,9000.0,850.0,3210.0,1620.0,5910.0,22820.0,2200.0,580.0,6110.0,5150.0,1600.0,5520.0,910.0
778,412030,Retail Salespersons,"4,528,550","27,180","17,810","19,410","22,680","29,480","41,420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,412031,Retail Salespersons,"4,528,550","27,180","17,810","19,410","22,680","29,480","41,420",0.92,59690.0,10470.0,90030.0,37840.0,440440.0,83670.0,51540.0,17750.0,6500.0,339070.0,141860.0,23110.0,25270.0,186820.0,92400.0,44500.0,39580.0,57080.0,61120.0,20190.0,69470.0,107880.0,147440.0,84730.0,39600.0,82100.0,15920.0,29780.0,49650.0,25920.0,131080.0,26880.0,322970.0,140410.0,13610.0,157460.0,49280.0,61610.0,176270.0,13720.0,69430.0,15500.0,93500.0,383080.0,43450.0,9100.0,122290.0,101850.0,21980.0,85100.0,8580.0
780,413000,"Sales Representatives, Services","1,903,140","70,510","26,400","35,950","52,600","81,680","133,660",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,413010,Advertising Sales Agents,"141,100","63,660","24,320","34,380","50,380","76,050","115,430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,413011,Advertising Sales Agents,"141,100","63,660","24,320","34,380","50,380","76,050","115,430",0.54,1560.0,230.0,2450.0,1020.0,16880.0,2240.0,1940.0,300.0,730.0,11160.0,4810.0,330.0,630.0,8850.0,2370.0,1790.0,1570.0,1330.0,1490.0,520.0,1210.0,2840.0,4140.0,2840.0,860.0,2730.0,620.0,820.0,790.0,570.0,2220.0,570.0,21790.0,3370.0,570.0,3960.0,1020.0,1210.0,4740.0,530.0,1490.0,520.0,2270.0,7700.0,1130.0,270.0,2370.0,2530.0,670.0,2280.0,290.0
783,413020,Insurance Sales Agents,"385,700","67,760","27,430","35,500","49,990","77,140","128,070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,413021,Insurance Sales Agents,"385,700","67,760","27,430","35,500","49,990","77,140","128,070",0.92,5680.0,610.0,8590.0,2950.0,38280.0,10250.0,6450.0,1070.0,260.0,30060.0,12280.0,1020.0,1590.0,14730.0,9260.0,6340.0,3910.0,4190.0,6330.0,1820.0,7140.0,7430.0,10850.0,7440.0,2700.0,8810.0,1420.0,3380.0,3110.0,1540.0,10660.0,1270.0,21040.0,10000.0,1090.0,15460.0,4250.0,4050.0,15420.0,1370.0,6260.0,1870.0,7780.0,32330.0,3420.0,860.0,10180.0,8300.0,1830.0,8180.0,610.0
785,413030,"Securities, Commodities, and Financial Services Sales Agents","353,780","102,260","33,340","41,040","67,310","131,180",#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,413031,"Securities, Commodities, and Financial Services Sales Agents","353,780","102,260","33,340","41,040","67,310","131,180",#,0.016,1690.0,200.0,6670.0,1370.0,45960.0,10850.0,5590.0,1990.0,1410.0,24860.0,7240.0,660.0,1290.0,18760.0,4070.0,3040.0,1780.0,2900.0,2140.0,720.0,3530.0,9530.0,6750.0,8180.0,610.0,5410.0,680.0,2240.0,2230.0,2250.0,11600.0,1060.0,57560.0,8430.0,520.0,10190.0,1730.0,3760.0,10010.0,1720.0,1970.0,530.0,3880.0,34780.0,4110.0,470.0,5240.0,5790.0,550.0,4990.0,280.0
787,413040,Travel Agents,"68,680","39,900","20,670","27,030","36,460","48,600","61,890",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,413041,Travel Agents,"68,680","39,900","20,670","27,030","36,460","48,600","61,890",0.099,370.0,140.0,1420.0,180.0,8890.0,1630.0,650.0,160.0,420.0,6700.0,1890.0,670.0,140.0,4740.0,690.0,400.0,310.0,220.0,430.0,180.0,1650.0,2310.0,1930.0,940.0,70.0,1810.0,230.0,520.0,1030.0,340.0,2400.0,160.0,5980.0,1310.0,160.0,1670.0,330.0,600.0,2650.0,190.0,880.0,150.0,590.0,4360.0,1030.0,160.0,2130.0,1400.0,110.0,1290.0,80.0
789,413090,"Miscellaneous Sales Representatives, Services","953,870","63,070","25,000","35,230","52,490","77,360","113,950",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,413099,"Sales Representatives, Services, All Other","953,870","63,070","25,000","35,230","52,490","77,360","113,950",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,414000,"Sales Representatives, Wholesale and Manufacturing","1,732,420","73,060","29,040","41,590","60,530","89,800","129,940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,414010,"Sales Representatives, Wholesale and Manufacturing","1,732,420","73,060","29,040","41,590","60,530","89,800","129,940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,414011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","328,370","92,910","39,930","55,250","78,980","116,800","160,940",0.25,890.0,500.0,6910.0,2840.0,46150.0,5590.0,3970.0,1190.0,500.0,22110.0,9840.0,990.0,1080.0,12630.0,7560.0,2000.0,2420.0,2830.0,2760.0,620.0,5550.0,18130.0,9070.0,6550.0,820.0,4630.0,380.0,1800.0,1150.0,3260.0,6370.0,1170.0,16220.0,9660.0,1090.0,18710.0,6390.0,3570.0,13030.0,530.0,3350.0,1550.0,8600.0,33000.0,4180.0,590.0,6220.0,4660.0,750.0,3720.0,330.0
794,414012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","1,404,050","68,410","27,500","39,350","57,140","82,520","121,080",0.85,23200.0,1670.0,21730.0,13830.0,141140.0,29830.0,15200.0,2810.0,980.0,95130.0,58500.0,3420.0,6430.0,69240.0,30610.0,15830.0,14990.0,18320.0,22980.0,4250.0,16720.0,24380.0,54300.0,32800.0,7180.0,24350.0,4690.0,11050.0,9080.0,7270.0,44070.0,4730.0,87710.0,45460.0,3670.0,48290.0,10020.0,16180.0,63350.0,5630.0,20450.0,5390.0,21240.0,118160.0,14440.0,2370.0,29500.0,35710.0,4830.0,38650.0,2310.0
795,419000,Other Sales and Related Workers,"662,330","49,440","19,490","23,310","32,550","58,130","102,430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796,419010,"Models, Demonstrators, and Product Promoters","90,890","30,860","19,200","21,650","25,580","35,930","48,710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,419011,Demonstrators and Product Promoters,"86,500","30,570","19,420","21,830","25,610","35,610","48,480",0.51,780.0,220.0,2090.0,1650.0,19350.0,0.0,1120.0,280.0,60.0,4900.0,2300.0,420.0,670.0,2700.0,1430.0,1120.0,680.0,1200.0,220.0,140.0,950.0,1370.0,1630.0,2060.0,100.0,3260.0,0.0,320.0,0.0,80.0,1460.0,410.0,4460.0,2280.0,90.0,1120.0,230.0,1450.0,2040.0,150.0,1350.0,110.0,2710.0,8560.0,770.0,70.0,2730.0,2440.0,70.0,1420.0,0.0
798,419012,Models,"4,390","36,560","17,240","19,010","21,870","41,470","52,390",0.98,0.0,0.0,0.0,0.0,540.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,0.0,0.0,50.0,0.0,180.0,100.0,0.0,0.0,0.0,0.0,1220.0,0.0,0.0,60.0,0.0,0.0,80.0,0.0
799,419020,Real Estate Brokers and Sales Agents,"192,690","63,590","22,540","30,600","46,410","75,710","124,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,419021,Real Estate Brokers,"40,850","79,340","24,370","34,190","56,790","95,030","162,260",0.97,220.0,90.0,1670.0,120.0,5900.0,1930.0,160.0,0.0,200.0,2940.0,520.0,330.0,150.0,2330.0,320.0,90.0,210.0,80.0,290.0,180.0,660.0,1120.0,590.0,410.0,240.0,780.0,210.0,210.0,170.0,180.0,420.0,130.0,1610.0,6160.0,0.0,690.0,450.0,870.0,1000.0,0.0,920.0,0.0,490.0,2590.0,320.0,70.0,1700.0,580.0,90.0,240.0,0.0
801,419022,Real Estate Sales Agents,"151,840","59,360","22,230","29,940","44,090","71,060","112,570",0.86,900.0,190.0,3150.0,1060.0,12400.0,4180.0,800.0,610.0,640.0,17510.0,10370.0,250.0,800.0,3890.0,2390.0,1040.0,710.0,1980.0,1180.0,200.0,2130.0,2330.0,2620.0,1820.0,850.0,2210.0,420.0,500.0,1560.0,230.0,2630.0,850.0,6010.0,5160.0,440.0,6720.0,3390.0,700.0,6820.0,270.0,3990.0,300.0,1330.0,16210.0,2030.0,0.0,6720.0,7420.0,330.0,1240.0,230.0
802,419030,Sales Engineers,"74,330","108,880","56,990","74,400","100,000","132,080","166,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,419031,Sales Engineers,"74,330","108,880","56,990","74,400","100,000","132,080","166,500",0.0041,270.0,70.0,1360.0,130.0,11390.0,3620.0,940.0,90.0,0.0,1980.0,2140.0,160.0,150.0,3520.0,1040.0,250.0,340.0,250.0,200.0,180.0,1030.0,3670.0,2550.0,1790.0,120.0,860.0,40.0,110.0,330.0,490.0,1990.0,60.0,2750.0,3340.0,70.0,3680.0,400.0,870.0,3430.0,0.0,360.0,110.0,950.0,11620.0,550.0,100.0,1790.0,1300.0,40.0,1450.0,0.0
804,419040,Telemarketers,"215,290","27,170","18,330","20,370","24,300","30,480","39,310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,419041,Telemarketers,"215,290","27,170","18,330","20,370","24,300","30,480","39,310",0.99,2240.0,0.0,13850.0,2600.0,13670.0,6100.0,1120.0,0.0,230.0,27870.0,4110.0,310.0,2020.0,7420.0,4510.0,2740.0,1910.0,1380.0,420.0,1400.0,1260.0,2830.0,4490.0,2660.0,0.0,7680.0,350.0,3000.0,3210.0,660.0,4540.0,830.0,7520.0,4580.0,210.0,13510.0,4160.0,3160.0,6330.0,180.0,2200.0,1040.0,3750.0,21020.0,4750.0,70.0,8120.0,2440.0,1100.0,5020.0,0.0
806,419090,Miscellaneous Sales and Related Workers,"89,120","42,000","20,570","25,450","35,880","51,480","71,040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,419091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers","8,040","28,630","19,120","20,990","24,330","30,820","47,340",0.94,0.0,60.0,0.0,0.0,1200.0,100.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,160.0,0.0,90.0,0.0,0.0,0.0,190.0,90.0,0.0,60.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,300.0,0.0,500.0,0.0,150.0,170.0,0.0,0.0,0.0,50.0,1170.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
808,419099,"Sales and Related Workers, All Other","81,080","43,330","20,810","26,780","37,190","53,150","73,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
